source	target
PKA_Homo sapiens	KBF1
PKA_Homo sapiens	KCNA1
PKA_Homo sapiens	KCNA2
PKA_Homo sapiens	KCNA3
PKA_Homo sapiens	KCNA4
PKA_Homo sapiens	KCNA5
PKA_Homo sapiens	KCNA6
PKA_Homo sapiens	KPB1
PKA_Homo sapiens	KPBB
PKA_Homo sapiens	LIPS
PKA_Homo sapiens	NEB1
PKA_Homo sapiens	NOS2A
PKA_Homo sapiens	NR4A1
PKA_Homo sapiens	PH4H
PKA_Homo sapiens	PHOS
PKA_Homo sapiens	PP1RA
PKA_Homo sapiens	PPLA
PKA_Homo sapiens	PPR3A
PKA_Homo sapiens	PTPRR
PKA_Homo sapiens	REL
PKA_Homo sapiens	S25BP
PKA_Homo sapiens	SC5A5
PKA_Homo sapiens	SCN7A
PKA_Homo sapiens	SSR5
PKA_Homo sapiens	TPH1
PKA_Homo sapiens	TY3H
PKA_Homo sapiens	VIME
PKA_Mus musculus	ADA1A
PKA_Mus musculus	ADDA
PKA_Mus musculus	ADDB
PKA_Mus musculus	ADRB1
PKA_Mus musculus	ADRB2
PKA_Mus musculus	AP2A
PKA_Mus musculus	AP2B
PKA_Mus musculus	AP2C
PKA_Mus musculus	AT12A
PKA_Mus musculus	AT1A1
PKA_Mus musculus	AT1A3
PKA_Mus musculus	AT1A4
PKA_Mus musculus	AT2B2
PKA_Mus musculus	ATP4A
PKA_Mus musculus	CAC1A
PKA_Mus musculus	CAC1B
PKA_Mus musculus	CAC1C
PKA_Mus musculus	CAC1E
PKA_Mus musculus	CAC1S
PKA_Mus musculus	CAC2D
PKA_Mus musculus	CP2B9
PKA_Mus musculus	CP2BA
PKA_Mus musculus	CP2BJ
PKA_Mus musculus	CP2BK
PKA_Mus musculus	F262
PKA_Mus musculus	GP1BB
PKA_Mus musculus	IPP1
PKA_Mus musculus	ITPR1
PKA_Mus musculus	KAP2
PKA_Mus musculus	KBF1
PKA_Mus musculus	KCNA1
PKA_Mus musculus	KCNA2
PKA_Mus musculus	KCNA3
PKA_Mus musculus	KCNA4
PKA_Mus musculus	KCNA5
PKA_Mus musculus	KCNA6
PKA_Mus musculus	KCNQ2
PKA_Mus musculus	KPB1
PKA_Mus musculus	KPBB
PKA_Mus musculus	KPYR
PKA_Mus musculus	LIPS
PKA_Mus musculus	MEL18
PKA_Mus musculus	NR4A1
PKA_Mus musculus	PH4H
PKA_Mus musculus	PHOS
PKA_Mus musculus	PPLA
PKA_Mus musculus	PPR3A
PKA_Mus musculus	REL
PKA_Mus musculus	SC5A5
PKA_Mus musculus	STAR
PKA_Mus musculus	TPH1
PKA_Mus musculus	TY3H
PKA_Mus musculus	VTNC
PKC_Homo sapiens	ADDG
PKC_Homo sapiens	AT1A1
PKC_Homo sapiens	AT2B2
PKC_Homo sapiens	AT2B3
PKC_Homo sapiens	AT2B4
PKC_Homo sapiens	BCL2
PKC_Homo sapiens	CSTF2
PKC_Homo sapiens	DCX
PKC_Homo sapiens	EWS
PKC_Homo sapiens	F262
PKC_Homo sapiens	F263
PKC_Homo sapiens	F264
PKC_Homo sapiens	FYN
PKC_Homo sapiens	GLU2B
PKC_Homo sapiens	GPSM2
PKC_Homo sapiens	GRIK1
PKC_Homo sapiens	IL1R1
PKC_Homo sapiens	IL7RA
PKC_Homo sapiens	KCNE1
PKC_Homo sapiens	MRP
PKC_Homo sapiens	NEUG
PKC_Homo sapiens	NEUM
PKC_Homo sapiens	NMDZ1
PKC_Homo sapiens	NPT2
PKC_Homo sapiens	PEA15
PKC_Homo sapiens	PLCB1
PKC_Homo sapiens	PLS2
PKC_Homo sapiens	RGS1
PKC_Homo sapiens	VIME
